Demand Planning Standard SKU Name,Group SKU,Channel,Sub Division Name,Duplication,1,2,3,4,5,6,7,8,9,10,11,12
Affordable Premium,Affordable Premium,KA0,Beer,Affordable PremiumAffordable PremiumKA0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Affordable Premium,Affordable Premium,GT0,Beer,Affordable PremiumAffordable PremiumGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Affordable Premium,Affordable Premium,MT0,Beer,Affordable PremiumAffordable PremiumMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Affordable Premium,Affordable Premium,GT0_C1,Beer,Affordable PremiumAffordable PremiumGT0_C1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Red Ruby Special,Red Ruby Special,KA0,Beer,Red Ruby SpecialRed Ruby SpecialKA0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Red Ruby Special,Red Ruby Special,GT0,Beer,Red Ruby SpecialRed Ruby SpecialGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Red Ruby Special,Red Ruby Special,MT0,Beer,Red Ruby SpecialRed Ruby SpecialMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Red Ruby Special,Red Ruby Special,GT0_C1,Beer,Red Ruby SpecialRed Ruby SpecialGT0_C1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Non Beer Alcohol_1,Non Beer Alcohol_1,GT0,Beer,Non Beer Alcohol_1Non Beer Alcohol_1GT0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Non Beer Alcohol_1_Pack 4,Non Beer Alcohol_1,GT0,Beer,Non Beer Alcohol_1_Pack 4Non Beer Alcohol_1GT0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
Non Beer Alcohol_1_Pack 6,Non Beer Alcohol_1,GT0,Beer,Non Beer Alcohol_1_Pack 6Non Beer Alcohol_1GT0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
Non Beer Alcohol_1_Pack 12,Non Beer Alcohol_1,GT0,Beer,Non Beer Alcohol_1_Pack 12Non Beer Alcohol_1GT0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
Non Beer Alcohol_1_Pack 24,Non Beer Alcohol_1,GT0,Beer,Non Beer Alcohol_1_Pack 24Non Beer Alcohol_1GT0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
Non Beer Alcohol_2,Non Beer Alcohol_2,GT0,Beer,Non Beer Alcohol_2Non Beer Alcohol_2GT0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Non Beer Alcohol_2_Pack 4,Non Beer Alcohol_2,GT0,Beer,Non Beer Alcohol_2_Pack 4Non Beer Alcohol_2GT0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
Non Beer Alcohol_2_Pack 6,Non Beer Alcohol_2,GT0,Beer,Non Beer Alcohol_2_Pack 6Non Beer Alcohol_2GT0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
Non Beer Alcohol_2_Pack 12,Non Beer Alcohol_2,GT0,Beer,Non Beer Alcohol_2_Pack 12Non Beer Alcohol_2GT0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
Non Beer Alcohol_2_Pack 24,Non Beer Alcohol_2,GT0,Beer,Non Beer Alcohol_2_Pack 24Non Beer Alcohol_2GT0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
Non Beer Alcohol_1,Non Beer Alcohol_1,GT0_C1,Beer,Non Beer Alcohol_1Non Beer Alcohol_1GT0_C1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Non Beer Alcohol_1_Pack 4,Non Beer Alcohol_1,GT0_C1,Beer,Non Beer Alcohol_1_Pack 4Non Beer Alcohol_1GT0_C1,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
Non Beer Alcohol_1_Pack 6,Non Beer Alcohol_1,GT0_C1,Beer,Non Beer Alcohol_1_Pack 6Non Beer Alcohol_1GT0_C1,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
Non Beer Alcohol_1_Pack 12,Non Beer Alcohol_1,GT0_C1,Beer,Non Beer Alcohol_1_Pack 12Non Beer Alcohol_1GT0_C1,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
Non Beer Alcohol_1_Pack 24,Non Beer Alcohol_1,GT0_C1,Beer,Non Beer Alcohol_1_Pack 24Non Beer Alcohol_1GT0_C1,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
Non Beer Alcohol_2,Non Beer Alcohol_2,GT0_C1,Beer,Non Beer Alcohol_2Non Beer Alcohol_2GT0_C1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Non Beer Alcohol_2_Pack 4,Non Beer Alcohol_2,GT0_C1,Beer,Non Beer Alcohol_2_Pack 4Non Beer Alcohol_2GT0_C1,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
Non Beer Alcohol_2_Pack 6,Non Beer Alcohol_2,GT0_C1,Beer,Non Beer Alcohol_2_Pack 6Non Beer Alcohol_2GT0_C1,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
Non Beer Alcohol_2_Pack 12,Non Beer Alcohol_2,GT0_C1,Beer,Non Beer Alcohol_2_Pack 12Non Beer Alcohol_2GT0_C1,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
Non Beer Alcohol_2_Pack 24,Non Beer Alcohol_2,GT0_C1,Beer,Non Beer Alcohol_2_Pack 24Non Beer Alcohol_2GT0_C1,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
