"Product Number","Kpi Obj Catlog","Product Name","STANDARD_SKU_DESC","BRANDY_DESC","Sub Division Name","CATEGORY_DESC","SUB_CATEGORY_DESC","BRAND_DESC","BASE_UOM","Số lượng Base UOM / thùng","Số lượng pcs / Base UOM","Pcs / thùng","NET (Kg - base UOM)","Litre - Base UOM","Weight (case)","Primary UOM","Group SKU","Demand Planning Standard SKU Name","Innovation Name","Active Status","Local / Export / Others","Current Year Innovation(Y/N)","BU/Division","Innovation Type","Itemcode Type","Supply Strategy","Production Group","Launching Time"
"08BI00016","Bia Sư Tử Trắng","Bia Sư Tử Trắng - Hình 2ly thủy tinh 24lon x 330ml","Beer Lager Premium Sư Tử Trắng Regular 330ml","Regular Sư Tử Trắng Lon","Beer","Lager Beer","Lager Beer - Regular","Sư Tử Trắng","Lon",24,1,24,0.345833333,0.33,8.299999992,"Vol (Kcase)","Delete","Delete","Delete","In-active","Local",,"Beer",,"Code hệ thống",,"Beer",
"08BI00010","Bia Sư Tử Trắng","Bộ Bia Sư Tử Trắng 24lon x 330ml - ly ""Đại Chí Cốt""","Beer Lager Premium Sư Tử Trắng Regular 330ml","Regular Sư Tử Trắng Lon","Beer","Lager Beer","Lager Beer - Regular","Sư Tử Trắng","Lon",24,1,24,0.345833333,0.33,8.299999992,"Vol (Kcase)","Delete","Delete","Delete","In-active","Local",,"Beer",,"Code hệ thống",,"Beer",
"08BI00012","Bia Sư Tử Trắng","Bia Sư Tử Trắng (Euro 2016) MN 24lon x 330ml","Beer Lager Premium Sư Tử Trắng Regular 330ml","Regular Sư Tử Trắng Lon","Beer","Lager Beer","Lager Beer - Regular","Sư Tử Trắng","Lon",24,1,24,0.345833333,0.33,8.299999992,"Vol (Kcase)","Delete","Delete","Delete","In-active","Local",,"Beer",,"Code hệ thống",,"Beer",
"08BI00013","Bia Sư Tử Trắng","Bia Sư Tử Trắng (Euro 2016) MB 24lon x 330ml","Beer Lager Premium Sư Tử Trắng Regular 330ml","Regular Sư Tử Trắng Lon","Beer","Lager Beer","Lager Beer - Regular","Sư Tử Trắng","Lon",24,1,24,0.345833333,0.33,8.299999992,"Vol (Kcase)","Delete","Delete","Delete","In-active","Local",,"Beer",,"Code hệ thống",,"Beer",
"08BI00006","Bia Sư Tử Trắng","Bia Sư Tử Trắng KM 1ly thủy tinh ""Vì Bạn Cạn Bia"" 24lon x 330ml","Beer Lager Premium Sư Tử Trắng Regular 330ml","Regular Sư Tử Trắng Lon","Beer","Lager Beer","Lager Beer - Regular","Sư Tử Trắng","Lon",24,1,24,0.345833333,0.33,8.299999992,"Vol (Kcase)","Delete","Delete","Delete","In-active","Local",,"Beer",,"Code hệ thống",,"Beer",
"08BI00008","Bia Sư Tử Trắng","Bia Sư Tử Trắng KM 1ly ""Chí Cốt"" 24lon x 330ml","Beer Lager Premium Sư Tử Trắng Regular 330ml","Regular Sư Tử Trắng Lon","Beer","Lager Beer","Lager Beer - Regular","Sư Tử Trắng","Lon",24,1,24,0.345833333,0.33,8.299999992,"Vol (Kcase)","Delete","Delete","Delete","In-active","Local",,"Beer",,"Code hệ thống",,"Beer",
"08BI00009","Bia Sư Tử Trắng","Bia Sư Tử Trắng KM 1ly ""Quà Đại Chí Cốt"" 24lon x 330ml","Beer Lager Premium Sư Tử Trắng Regular 330ml","Regular Sư Tử Trắng Lon","Beer","Lager Beer","Lager Beer - Regular","Sư Tử Trắng","Lon",24,1,24,0.345833333,0.33,8.299999992,"Vol (Kcase)","Delete","Delete","Delete","In-active","Local",,"Beer",,"Code hệ thống",,"Beer",
"08BI00011","Bia Sư Tử Trắng","Bia Sư Tử Trắng - Hình ly thủy tinh 24lon x 330ml","Beer Lager Premium Sư Tử Trắng Regular 330ml","Regular Sư Tử Trắng Lon","Beer","Lager Beer","Lager Beer - Regular","Sư Tử Trắng","Lon",24,1,24,0.345833333,0.33,8.299999992,"Vol (Kcase)","Delete","Delete","Delete","In-active","Local",,"Beer",,"Code hệ thống",,"Beer",
"08BI00014","Bia Singha","Bia Singha nhập khẩu 24lon x 330ml","Beer Lager Premium Singha Regular 330ml","Regular Singha Lon","Beer","Lager Beer","Lager Beer - Regular","Singha","Lon",24,1,24,0.35,0.33,8.4,"Vol (Kcase)","Delete","Delete","Delete","In-active","Local",,"Beer",,"Code hệ thống",,"Beer",
"08BI00017","Bia Sư Tử Trắng","Bia Sư Tử Trắng - Hình cánh đồng đại mạch 24lon x 330ml","Beer Lager Premium Sư Tử Trắng Regular 330ml","Regular Sư Tử Trắng Lon","Beer","Lager Beer","Lager Beer - Regular","Sư Tử Trắng","Lon",24,1,24,0.345833333,0.33,8.299999992,"Vol (Kcase)","Delete","Delete","Delete","In-active","Local",,"Beer",,"Code hệ thống",,"Beer",
