DP Name,Region Name,Channel Code,1,2,3,4,5,6,7,8,9,10,11,12
CSD Lemona Chanh 1.5L,Miền Bắc,GT0,0.5493562231759657,0.5493562231759657,0.5493562231759657,0.5493562231759657,0.5493562231759657,0.5493562231759657,0.5493562231759657,0.5493562231759657,0.5493562231759657,0.5493562231759657,0.5493562231759657,0.5493562231759657
CSD Lemona Chanh 1.5L,Miền Trung,GT0,0.18025751072961374,0.18025751072961374,0.18025751072961374,0.18025751072961374,0.18025751072961374,0.18025751072961374,0.18025751072961374,0.18025751072961374,0.18025751072961374,0.18025751072961374,0.18025751072961374,0.18025751072961374
CSD Lemona Chanh 1.5L,Miền Tây,GT0,0.27038626609442057,0.27038626609442057,0.27038626609442057,0.27038626609442057,0.27038626609442057,0.27038626609442057,0.27038626609442057,0.27038626609442057,0.27038626609442057,0.27038626609442057,0.27038626609442057,0.27038626609442057
WK 247 1.5L,Miền Bắc,GT0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
WK 247 1.5L,Miền Đông,GT0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Beer Lager Premium Red Ruby Regular 24lon 330ml,HCM,KA0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.3,0.3,0.3,0.3,0.30094043887147337
Beer Lager Premium Red Ruby Regular 24lon 330ml,Miền Đông,KA0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.30094043887147337
Beer Lager Premium Red Ruby Regular 24lon 330ml,Miền Tây,KA0,0.0,0.0,0.0,0.0,0.0,0.0,0.39999999999999997,0.4,0.4,0.39999999999999997,0.39999999999999997,0.39811912225705326
Affordable Premium,HCM,KA0,,,,,,,,,,,0.035192245148700896,0.035192245148700896
Affordable Premium,Miền Đông,KA0,,,,,,,,,,,0.6188748961081199,0.6188748961081199
Affordable Premium,Miền Tây,KA0,,,,,,,,,,,0.34593285874317925,0.34593285874317925
Red Ruby Special,HCM,KA0,,,,,,,,,0.3068450039339103,0.3068450039339103,0.3068450039339103,0.3068450039339103
Red Ruby Special,Miền Đông,KA0,,,,,,,,,0.2974036191974823,0.2974036191974823,0.2974036191974823,0.2974036191974823
Red Ruby Special,Miền Tây,KA0,,,,,,,,,0.3957513768686074,0.3957513768686074,0.3957513768686074,0.3957513768686074
Beer Lager Premium Red Ruby Regular 20lon 330ml,Miền Tây,GT0_C1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CSD Faith Chanh muối 355ml,Miền Bắc,GT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CSD Faith Chanh muối 355ml MN,HCM,GT0,0.1810344827586207,0.1810344827586207,0.1810344827586207,0.1810344827586207,0.1810344827586207,0.1810344827586207,0.1810344827586207,0.1810344827586207,0.1810344827586207,0.1810344827586207,0.1810344827586207,0.1810344827586207
CSD Faith Chanh muối 355ml MN,Miền Đông,GT0,0.2758620689655173,0.2758620689655173,0.2758620689655173,0.2758620689655173,0.2758620689655173,0.2758620689655173,0.2758620689655173,0.2758620689655173,0.2758620689655173,0.2758620689655173,0.2758620689655173,0.2758620689655173
CSD Faith Chanh muối 355ml MN,Miền Tây,GT0,0.1810344827586207,0.1810344827586207,0.1810344827586207,0.1810344827586207,0.1810344827586207,0.1810344827586207,0.1810344827586207,0.1810344827586207,0.1810344827586207,0.1810344827586207,0.1810344827586207,0.1810344827586207
CSD Faith Chanh muối 355ml MN,Miền Trung,GT0,0.3620689655172414,0.3620689655172414,0.3620689655172414,0.3620689655172414,0.3620689655172414,0.3620689655172414,0.3620689655172414,0.3620689655172414,0.3620689655172414,0.3620689655172414,0.3620689655172414,0.3620689655172414
Bia Red Ruby Max 24lon x 330ml,HCM,GT0_C1,,,,,,,,,0.3068450039339103,0.3068450039339103,0.3068450039339103,0.3068450039339103
Bia Red Ruby Max 24lon x 330ml,Miền Đông,GT0_C1,,,,,,,,,0.2974036191974823,0.2974036191974823,0.2974036191974823,0.2974036191974823
Bia Red Ruby Max 24lon x 330ml,Miền Tây,GT0_C1,,,,,,,,,0.3957513768686074,0.3957513768686074,0.3957513768686074,0.3957513768686074
Flavored Water Đào,Miền Bắc,GT0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Flavored Water Đào,Miền Trung,GT0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Flavored Water Đào,HCM,GT0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Flavored Water Đào,Miền Đông,GT0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Flavored Water Đào,Miền Tây,GT0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Flavored Water Vải,Miền Bắc,GT0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Flavored Water Vải,Miền Trung,GT0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Flavored Water Vải,HCM,GT0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Flavored Water Vải,Miền Đông,GT0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Flavored Water Vải,Miền Tây,GT0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Flavored Water Dưa lưới,Miền Bắc,GT0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Flavored Water Dưa lưới,Miền Trung,GT0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Flavored Water Dưa lưới,HCM,GT0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Flavored Water Dưa lưới,Miền Đông,GT0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Flavored Water Dưa lưới,Miền Tây,GT0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Flavored Water Tắc,Miền Bắc,GT0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Flavored Water Tắc,Miền Trung,GT0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Flavored Water Tắc,HCM,GT0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Flavored Water Tắc,Miền Đông,GT0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Flavored Water Tắc,Miền Tây,GT0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Vitamin Water,Miền Bắc,GT0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Vitamin Water,Miền Trung,GT0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Vitamin Water,HCM,GT0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Vitamin Water,Miền Đông,GT0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
