Item Code,Phasing Type,UOM,Sell Type,Year,View By,Channel Code,Sub Division Name,Group SKU,DP Name,Region Name,DC,FC,Calendar Month
04HP00047,Weighted Phasing,Val (Bio),Sell In,2023,MUF,GT0,Home Care,Bột giặt Joins,Powder Detergent Joins 2 in 1 3kg,HCM,JP1,2.67E-05,3
04HP00030,Weighted Phasing,Val (Bio),Sell In,2023,MUF,MT0,Home Care,Bột giặt Joins,Powder Detergent Joins 2 in 1 3kg,HCM,MTD,0.000765427,3
04HP00047,Weighted Phasing,Val (Bio),Sell In,2023,MUF,GT0,Home Care,Bột giặt Joins,Powder Detergent Joins 2 in 1 3kg,HCM,MTD,0.008823682,3
04HP00047,Weighted Phasing,Val (Bio),Sell In,2023,MUF,GT0,Home Care,Bột giặt Joins,Powder Detergent Joins 2 in 1 3kg,HCM,MTF,0.082106684,3
04HP00030,Weighted Phasing,Val (Bio),Sell In,2023,MUF,MT0,Home Care,Bột giặt Joins,Powder Detergent Joins 2 in 1 3kg,Miền Bắc,MTA,0.00715215,3
04HP00047,Weighted Phasing,Val (Bio),Sell In,2023,MUF,GT0,Home Care,Bột giặt Joins,Powder Detergent Joins 2 in 1 3kg,Miền Bắc,MTA,0.215725923,3
04HP00030,Weighted Phasing,Val (Bio),Sell In,2023,MUF,MT0,Home Care,Bột giặt Joins,Powder Detergent Joins 2 in 1 3kg,Miền Bắc,MTH,0.16339911,3
04HP00047,Weighted Phasing,Val (Bio),Sell In,2023,MUF,GT0,Home Care,Bột giặt Joins,Powder Detergent Joins 2 in 1 3kg,Miền Bắc,MTH,0.252406135,3
04HP00047,Weighted Phasing,Val (Bio),Sell In,2023,MUF,GT0,Home Care,Bột giặt Joins,Powder Detergent Joins 2 in 1 3kg,Miền Bắc,MTS,0.192792284,3
04HP00030,Weighted Phasing,Val (Bio),Sell In,2023,MUF,MT0,Home Care,Bột giặt Joins,Powder Detergent Joins 2 in 1 3kg,Miền Đông,DTD,0.023247287,3
04HP00047,Weighted Phasing,Val (Bio),Sell In,2023,MUF,GT0,Home Care,Bột giặt Joins,Powder Detergent Joins 2 in 1 3kg,Miền Đông,DTD,0.014818655,3
04HP00047,Weighted Phasing,Val (Bio),Sell In,2023,MUF,GT0,Home Care,Bột giặt Joins,Powder Detergent Joins 2 in 1 3kg,Miền Đông,GMT,0.167064233,3
04HP00030,Weighted Phasing,Val (Bio),Sell In,2023,MUF,MT0,Home Care,Bột giặt Joins,Powder Detergent Joins 2 in 1 3kg,Miền Đông,MTD,0.076863665,3
04HP00030,Weighted Phasing,Val (Bio),Sell In,2023,MUF,MT0,Home Care,Bột giặt Joins,Powder Detergent Joins 2 in 1 3kg,Miền Tây,MTD,0.00257036,3
04HP00047,Weighted Phasing,Val (Bio),Sell In,2023,MUF,GT0,Home Care,Bột giặt Joins,Powder Detergent Joins 2 in 1 3kg,Miền Tây,MTD,0.190893905,3
04HP00047,Weighted Phasing,Val (Bio),Sell In,2023,MUF,GT0,Home Care,Bột giặt Joins,Powder Detergent Joins 2 in 1 3kg,Miền Trung,DTD,0.198984736,3
04HP00047,Weighted Phasing,Val (Bio),Sell In,2023,MUF,GT0,Home Care,Bột giặt Joins,Powder Detergent Joins 2 in 1 3kg,Miền Trung,MTA,0.070029358,3
04HP00030,Weighted Phasing,Val (Bio),Sell In,2023,MUF,MT0,Home Care,Bột giặt Joins,Powder Detergent Joins 2 in 1 3kg,Miền Trung,MTN,0.059236072,3
04HP00047,Weighted Phasing,Val (Bio),Sell In,2023,MUF,GT0,Home Care,Bột giặt Joins,Powder Detergent Joins 2 in 1 3kg,Miền Trung,MTN,0.095599288,3
04HP00033,Weighted Phasing,Val (Bio),Sell In,2023,MUF,GT0,Home Care,Bột giặt Joins,Powder Detergent Joins 2 in 1 4.5kg,HCM,DTD,8.29E-08,3
04HP00033,Weighted Phasing,Val (Bio),Sell In,2023,MUF,GT0,Home Care,Bột giặt Joins,Powder Detergent Joins 2 in 1 4.5kg,HCM,JP1,6.44E-08,3
04HP00033,Weighted Phasing,Val (Bio),Sell In,2023,MUF,MT0,Home Care,Bột giặt Joins,Powder Detergent Joins 2 in 1 4.5kg,HCM,MTD,0.000481167,3
04HP00033,Weighted Phasing,Val (Bio),Sell In,2023,MUF,GT0,Home Care,Bột giặt Joins,Powder Detergent Joins 2 in 1 4.5kg,HCM,MTD,1.05E-05,3
04HP00033,Weighted Phasing,Val (Bio),Sell In,2023,MUF,GT0,Home Care,Bột giặt Joins,Powder Detergent Joins 2 in 1 4.5kg,HCM,MTF,0.000131941,3
04HP00033,Weighted Phasing,Val (Bio),Sell In,2023,MUF,MT0,Home Care,Bột giặt Joins,Powder Detergent Joins 2 in 1 4.5kg,Miền Bắc,MTA,0.021442571,3
04HP00033,Weighted Phasing,Val (Bio),Sell In,2023,MUF,GT0,Home Care,Bột giặt Joins,Powder Detergent Joins 2 in 1 4.5kg,Miền Bắc,MTA,0.000384929,3
04HP00033,Weighted Phasing,Val (Bio),Sell In,2023,MUF,MT0,Home Care,Bột giặt Joins,Powder Detergent Joins 2 in 1 4.5kg,Miền Bắc,MTH,0.085770285,3
